SC/VSC stints,red_flags,weather,year,round,circuitId,driverId,constructorId,grid,position,rank,driver_nationality,constructor_nationality,circuit_country
0,No,Dry,2007,1,1,8,6,pole,winner,fastest lap,Finnish,Italian,Australia
3,No,Dry,2008,1,1,8,6,top-fifteen,top-ten,top-five,Finnish,Italian,Australia
2,No,Dry,2009,1,1,8,6,top-ten,top-fifteen,top-ten,Finnish,Italian,Australia
1,No,Dry,2014,1,1,8,6,top-fifteen,top-ten,top-ten,Finnish,Italian,Australia
1,No,Dry,2015,1,1,8,6,top-five,DNF,top-three,Finnish,Italian,Australia
1,Yes,Dry,2016,1,1,8,6,top-five,DNF,top-five,Finnish,Italian,Australia
0,No,Dry,2017,1,1,8,6,top-five,top-five,fastest lap,Finnish,Italian,Australia
1,No,Dry,2018,1,1,8,6,top-three,podium,top-three,Finnish,Italian,Australia
1,No,Varied,2010,2,1,4,6,top-three,top-five,top-ten,Spanish,Italian,Australia
0,No,Dry,2011,1,1,4,6,top-five,top-five,top-three,Spanish,Italian,Australia
1,No,Dry,2012,1,1,4,6,top-fifteen,top-five,top-ten,Spanish,Italian,Australia
0,No,Dry,2013,1,1,4,6,top-five,podium,top-three,Spanish,Italian,Australia
1,No,Dry,2014,1,1,4,6,top-five,top-five,top-ten,Spanish,Italian,Australia
0,No,Dry,2007,1,1,13,6,last positions,top-ten,top-ten,Brazilian,Italian,Australia
3,No,Dry,2008,1,1,13,6,top-five,DNF,top-ten,Brazilian,Italian,Australia
2,No,Dry,2009,1,1,13,6,top-ten,DNF,top-fifteen,Brazilian,Italian,Australia
1,No,Varied,2010,2,1,13,6,top-five,podium,top-ten,Brazilian,Italian,Australia
0,No,Dry,2011,1,1,13,6,top-ten,top-ten,fastest lap,Brazilian,Italian,Australia
1,No,Dry,2012,1,1,13,6,last positions,DNF,top-fifteen,Brazilian,Italian,Australia
0,No,Dry,2013,1,1,13,6,top-five,top-five,top-ten,Brazilian,Italian,Australia
1,No,Dry,2015,1,1,20,6,top-five,podium,top-five,German,Italian,Australia
1,Yes,Dry,2016,1,1,20,6,top-three,podium,top-three,German,Italian,Australia
0,No,Dry,2017,1,1,20,6,top-three,winner,top-three,German,Italian,Australia
1,No,Dry,2018,1,1,20,6,top-three,winner,top-five,German,Italian,Australia
0,No,Dry,2019,1,1,20,6,top-three,top-five,top-ten,German,Italian,Australia
0,No,Dry,2019,1,1,844,6,top-five,top-five,top-five,Monegasque,Italian,Australia
1,No,Dry,2012,1,1,8,4,last positions,top-ten,top-fifteen,Finnish,British,Australia
0,No,Dry,2013,1,1,8,4,top-ten,winner,fastest lap,Finnish,British,Australia
1,No,Dry,2012,1,1,154,4,top-three,DNF,top-three,French,British,Australia
0,No,Dry,2013,1,1,154,4,top-ten,top-ten,top-ten,French,British,Australia
1,No,Dry,2014,1,1,154,4,last positions,DNF,top-fifteen,French,British,Australia
1,No,Dry,2015,1,1,154,4,top-ten,DNF,top-three,French,British,Australia
1,No,Dry,2014,1,1,813,4,last positions,DNF,top-fifteen,Venezuelan,British,Australia
1,No,Dry,2015,1,1,813,4,top-ten,DNF,top-three,Venezuelan,British,Australia
0,No,Dry,2019,1,1,8,2,top-ten,top-ten,top-fifteen,Finnish,Swiss,Australia
0,No,Dry,2019,1,1,841,2,top-fifteen,top-fifteen,top-fifteen,Italian,Swiss,Australia
0,No,Dry,2007,1,1,4,1,top-three,podium,top-three,Spanish,British,Australia
1,Yes,Dry,2016,1,1,4,1,top-fifteen,DNF,top-fifteen,Spanish,British,Australia
0,No,Dry,2017,1,1,4,1,top-fifteen,DNF,last positions,Spanish,British,Australia
1,No,Dry,2018,1,1,4,1,top-ten,top-five,top-ten,Spanish,British,Australia
0,No,Dry,2007,1,1,1,1,top-five,podium,top-three,British,British,Australia
3,No,Dry,2008,1,1,1,1,pole,winner,top-three,British,British,Australia
2,No,Dry,2009,1,1,1,1,last positions,DNF,top-fifteen,British,British,Australia
1,No,Varied,2010,2,1,1,1,top-fifteen,top-ten,top-three,British,British,Australia
0,No,Dry,2011,1,1,1,1,top-three,podium,top-ten,British,British,Australia
1,No,Dry,2012,1,1,1,1,pole,podium,top-five,British,British,Australia
3,No,Dry,2008,1,1,5,1,top-three,top-five,fastest lap,Finnish,British,Australia
2,No,Dry,2009,1,1,5,1,top-fifteen,DNF,no laptime set,Finnish,British,Australia
1,No,Varied,2010,2,1,18,1,top-five,winner,top-ten,British,British,Australia
0,No,Dry,2011,1,1,18,1,top-five,top-ten,top-five,British,British,Australia
1,No,Dry,2012,1,1,18,1,top-three,winner,fastest lap,British,British,Australia
0,No,Dry,2013,1,1,18,1,top-ten,top-ten,top-ten,British,British,Australia
1,No,Dry,2014,1,1,18,1,top-ten,podium,top-five,British,British,Australia
1,No,Dry,2015,1,1,18,1,last positions,top-fifteen,top-fifteen,British,British,Australia
1,Yes,Dry,2016,1,1,18,1,top-fifteen,top-fifteen,top-ten,British,British,Australia
